instrument,strike,fit_iv,delta,gamma,our_mark_px,deribit_mark_px,diff
BTC-23MAY25-93000-P,93000.0000,3.0000,-0.3666,0.0000,0.0280,0.0279,0.0001
BTC-23MAY25-94000-C,94000.0000,3.0000,0.6272,0.0000,0.0376,0.0371,0.0005
BTC-23MAY25-94000-P,94000.0000,3.0000,-0.3729,0.0000,0.0330,0.033,-0.0000
BTC-23MAY25-95000-C,95000.0000,3.0000,0.6209,0.0000,0.0324,0.0321,0.0003
BTC-23MAY25-95000-P,95000.0000,3.0000,-0.3792,0.0000,0.0389,0.0387,0.0002
BTC-23MAY25-96000-C,96000.0000,3.0000,0.6147,0.0000,0.0278,0.0277,0.0001
BTC-23MAY25-96000-P,96000.0000,3.0000,-0.3854,0.0000,0.0454,0.0449,0.0005
BTC-23MAY25-97000-P,97000.0000,3.0000,-0.3915,0.0000,0.0519,0.0517,0.0002
BTC-23MAY25-97000-C,97000.0000,3.0000,0.6086,0.0000,0.0239,0.0238,0.0001
BTC-23MAY25-98000-P,98000.0000,3.0000,-0.3977,0.0000,0.0760,0.0589,0.0171
BTC-23MAY25-98000-C,98000.0000,3.0000,0.6024,0.0000,0.0206,0.0204,0.0002
BTC-23MAY25-99000-P,99000.0000,3.0000,-0.4037,0.0000,0.0860,0.0664,0.0196
BTC-23MAY25-99000-C,99000.0000,3.0000,0.5964,0.0000,0.0176,0.0175,0.0001
BTC-23MAY25-100000-C,100000.0000,3.0000,0.5902,0.0000,0.0151,0.0149,0.0002
BTC-23MAY25-100000-P,100000.0000,3.0000,-0.4098,0.0000,0.1126,0.0746,0.0380
BTC-23MAY25-101000-C,101000.0000,3.0000,0.5843,0.0000,0.0145,0.0127,0.0018
BTC-23MAY25-101000-P,101000.0000,3.0000,-0.4158,0.0000,0.1210,0.0829,0.0381
BTC-23MAY25-102000-C,102000.0000,3.0000,0.5783,0.0000,0.0111,0.0109,0.0002
BTC-23MAY25-102000-P,102000.0000,3.0000,-0.4217,0.0000,0.1314,0.0917,0.0397
BTC-23MAY25-103000-P,103000.0000,3.0000,-0.4277,0.0000,0.1419,0.1007,0.0412
BTC-23MAY25-103000-C,103000.0000,3.0000,0.5724,0.0000,0.0093,0.0092,0.0001
BTC-23MAY25-104000-P,104000.0000,3.0000,-0.4336,0.0000,0.1518,0.1099,0.0419
BTC-23MAY25-104000-C,104000.0000,3.0000,0.5665,0.0000,0.0080,0.0079,0.0001
BTC-23MAY25-105000-P,105000.0000,3.0000,-0.4395,0.0000,0.1615,0.1194,0.0421
BTC-23MAY25-105000-C,105000.0000,3.0000,0.5606,0.0000,0.0068,0.0067,0.0001
BTC-23MAY25-106000-C,106000.0000,3.0000,0.5548,0.0000,0.0058,0.0058,0.0000
BTC-23MAY25-106000-P,106000.0000,3.0000,-0.4453,0.0000,0.1721,0.129,0.0431
BTC-23MAY25-108000-P,108000.0000,3.0000,-0.4568,0.0000,0.1929,0.1487,0.0442
BTC-23MAY25-108000-C,108000.0000,3.0000,0.5432,0.0000,0.0055,0.0043,0.0012
BTC-23MAY25-110000-C,110000.0000,3.0000,0.5319,0.0000,0.0043,0.0032,0.0011
BTC-23MAY25-110000-P,110000.0000,3.0000,-0.4681,0.0000,0.2135,0.1689,0.0446
BTC-23MAY25-115000-C,115000.0000,3.0000,0.5045,0.0000,0.0022,0.0017,0.0005
BTC-23MAY25-115000-P,115000.0000,3.0000,-0.4956,0.0000,0.2649,0.2203,0.0446
BTC-23MAY25-120000-C,120000.0000,3.0000,0.4782,0.0000,0.0010,0.001,0.0000
BTC-23MAY25-120000-P,120000.0000,3.0000,-0.5219,0.0000,0.3168,0.2726,0.0442
BTC-23MAY25-125000-C,125000.0000,3.0000,0.4529,0.0000,0.0007,0.0006,0.0001
BTC-23MAY25-125000-P,125000.0000,3.0000,-0.5471,0.0000,0.3686,0.3253,0.0433
BTC-23MAY25-130000-C,130000.0000,3.0000,0.4290,0.0000,0.0005,0.0004,0.0001
BTC-23MAY25-130000-P,130000.0000,3.0000,-0.5711,0.0000,0.4209,0.378,0.0429
BTC-23MAY25-135000-C,135000.0000,3.0000,0.4061,0.0000,0.0003,0.0003,0.0000
BTC-23MAY25-135000-P,135000.0000,3.0000,-0.5939,0.0000,0.5695,0.4309,0.1386
